species,is_control,n_total,n_complete,dltA,dltE,prevalence,wilson_lo,wilson_hi,dltE_s90,dltE_s110,dltE_s130,A_TM,B_SP,C_CYTO,D_absent,E_no_dlt,mprF_long_pct,mprF_short_pct
Apilactobacillus apinorum,0,4,1,0,0,0.0000,0.0000,0.4899,0,0,0,0,0,0,0,4,1.000,1.000
Apilactobacillus kunkeei,0,37,6,0,0,0.0000,0.0000,0.0941,0,0,0,0,0,0,0,37,1.000,1.000
Apilactobacillus micheneri,0,22,0,0,0,0.0000,0.0000,0.1487,0,0,0,0,0,0,0,22,1.000,1.000
Bifidobacterium animalis,1,239,62,0,0,0.0000,0.0000,0.0158,0,0,0,0,0,0,0,239,0.000,0.000
Bifidobacterium longum,1,500,147,0,0,0.0000,0.0000,0.0076,0,0,0,0,0,0,0,500,0.000,0.000
Companilactobacillus alimentarius,0,6,1,6,6,1.0000,0.6097,1.0000,6,6,6,0,6,0,0,0,0.000,1.000
Companilactobacillus allii,0,3,2,3,3,1.0000,0.4385,1.0000,3,3,3,0,3,0,0,0,0.000,0.667
Companilactobacillus baiquanensis,0,2,0,2,2,1.0000,0.3424,1.0000,2,2,2,0,2,0,0,0,0.000,1.000
Companilactobacillus bobalius,0,3,0,3,3,1.0000,0.4385,1.0000,3,3,3,0,3,0,0,0,0.000,1.000
Companilactobacillus crustorum,0,9,4,9,9,1.0000,0.7008,1.0000,9,9,9,0,9,0,0,0,0.000,1.000
Companilactobacillus farciminis,0,9,3,9,9,1.0000,0.7008,1.0000,9,9,9,0,9,0,0,0,0.000,1.000
Companilactobacillus formosensis,0,2,0,2,2,1.0000,0.3424,1.0000,2,2,2,0,2,0,0,0,0.000,1.000
Companilactobacillus furfuricola,0,1,0,1,1,1.0000,0.2065,1.0000,1,1,1,0,1,0,0,0,0.000,1.000
Companilactobacillus futsaii,0,4,3,4,2,0.5000,0.1500,0.8500,2,2,2,0,2,0,2,0,0.000,1.000
Companilactobacillus ginsenosidimutans,0,1,1,1,1,1.0000,0.2065,1.0000,1,1,1,0,1,0,0,0,0.000,1.000
