Species,Genomes,A membrane-anchored,B secreted,C cytoplasmic,D DltE absent,E dlt operon absent
Lactobacillus crispatus,500,0,0,495,3,2
Lactiplantibacillus plantarum,500,480,15,0,0,5
Lacticaseibacillus paracasei,500,494,0,2,0,4
Limosilactobacillus reuteri,500,0,0,0,500,0
Lactococcus lactis,500,0,0,0,500,0
Lactobacillus delbrueckii,453,0,0,0,452,1
Lacticaseibacillus rhamnosus,438,6,432,0,0,0
Limosilactobacillus fermentum,387,0,0,0,384,3
Ligilactobacillus salivarius,342,0,0,0,341,1
Pediococcus acidilactici,342,0,337,3,1,1
Leuconostoc mesenteroides,337,335,0,0,0,2
Levilactobacillus brevis,267,2,262,0,0,3
Pediococcus pentosaceus,215,94,118,3,0,0
Lactobacillus helveticus,213,0,0,203,9,1
Latilactobacillus sakei,181,1,172,0,0,8
Lactobacillus gasseri,164,0,0,158,6,0
Lactiplantibacillus pentosus,155,107,47,0,0,1
Lactobacillus jensenii,148,0,0,141,6,1
Lactobacillus acidophilus,137,0,0,137,0,0
Lactococcus garvieae,131,0,0,0,125,6
Lactobacillus johnsonii,123,0,0,123,0,0
Latilactobacillus curvatus,118,1,10,107,0,0
Lactobacillus paragasseri,116,0,0,116,0,0
Lactobacillus amylovorus,108,0,0,108,0,0
Leuconostoc citreum,104,103,0,0,0,1
Limosilactobacillus mucosae,93,0,0,0,91,2
Ligilactobacillus animalis,41,0,0,0,40,1
Apilactobacillus kunkeei,37,0,0,0,0,37
Lacticaseibacillus casei,33,24,9,0,0,0
Lactiplantibacillus paraplantarum,32,32,0,0,0,0
