species,n_total,n_complete,dltA,DltE,prevalence,Wilson_lo,Wilson_hi,DltE_s90,DltE_s130,MprF_long_pct,MprF_short_pct
Apilactobacillus apinorum,4,1,0,0,0.0000,0.0000,0.4899,0,0,1.000,1.000
Apilactobacillus kunkeei,37,6,0,0,0.0000,0.0000,0.0941,0,0,1.000,1.000
Apilactobacillus micheneri,22,0,0,0,0.0000,0.0000,0.1487,0,0,1.000,1.000
Bifidobacterium animalis,239,62,0,0,0.0000,0.0000,0.0158,0,0,0.000,0.000
Bifidobacterium longum,500,147,0,0,0.0000,0.0000,0.0076,0,0,0.000,0.000
Companilactobacillus alimentarius,6,1,6,6,1.0000,0.6097,1.0000,6,6,0.000,1.000
Companilactobacillus allii,3,2,3,3,1.0000,0.4385,1.0000,3,3,0.000,0.667
Companilactobacillus baiquanensis,2,0,2,2,1.0000,0.3424,1.0000,2,2,0.000,1.000
Companilactobacillus bobalius,3,0,3,3,1.0000,0.4385,1.0000,3,3,0.000,1.000
Companilactobacillus crustorum,9,4,9,9,1.0000,0.7008,1.0000,9,9,0.000,1.000
Companilactobacillus farciminis,9,3,9,9,1.0000,0.7008,1.0000,9,9,0.000,1.000
Companilactobacillus formosensis,2,0,2,2,1.0000,0.3424,1.0000,2,2,0.000,1.000
Companilactobacillus furfuricola,1,0,1,1,1.0000,0.2065,1.0000,1,1,0.000,1.000
Companilactobacillus futsaii,4,3,4,2,0.5000,0.1500,0.8500,2,2,0.000,1.000
Companilactobacillus ginsenosidimutans,1,1,1,1,1.0000,0.2065,1.0000,1,1,0.000,1.000
Companilactobacillus halodurans,2,0,2,2,1.0000,0.3424,1.0000,2,2,0.000,1.000
Companilactobacillus heilongjiangensis,2,1,2,2,1.0000,0.3424,1.0000,2,2,0.000,1.000
Companilactobacillus huachuanensis,2,0,2,2,1.0000,0.3424,1.0000,2,2,0.000,1.000
Companilactobacillus hulinensis,1,0,1,1,1.0000,0.2065,1.0000,1,1,0.000,1.000
Companilactobacillus insicii,1,0,1,1,1.0000,0.2065,1.0000,1,1,0.000,1.000
Companilactobacillus jidongensis,1,0,1,1,1.0000,0.2065,1.0000,1,1,0.000,1.000
Companilactobacillus kedongensis,1,0,1,1,1.0000,0.2065,1.0000,1,1,0.000,1.000
Companilactobacillus keshanensis,2,0,2,2,1.0000,0.3424,1.0000,2,2,0.000,1.000
Companilactobacillus kimchiensis,1,0,1,1,1.0000,0.2065,1.0000,1,1,0.000,1.000
Companilactobacillus kimchii,4,0,4,4,1.0000,0.5101,1.0000,4,4,0.000,1.000
Companilactobacillus metriopterae,1,0,1,1,1.0000,0.2065,1.0000,1,1,0.000,1.000
Companilactobacillus miaonis,2,0,2,2,1.0000,0.3424,1.0000,2,2,0.000,1.000
Companilactobacillus mindensis,2,0,2,2,1.0000,0.3424,1.0000,2,2,0.000,1.000
Companilactobacillus mishanensis,5,0,5,5,1.0000,0.5655,1.0000,5,5,0.000,1.000
Companilactobacillus muriivasis,2,0,2,2,1.0000,0.3424,1.0000,2,2,0.000,1.000
Companilactobacillus musae,3,1,3,3,1.0000,0.4385,1.0000,3,3,0.000,1.000
Companilactobacillus nantensis,3,0,3,3,1.0000,0.4385,1.0000,3,3,0.000,1.000
Companilactobacillus nodensis,5,0,5,5,1.0000,0.5655,1.0000,5,5,0.000,0.800
Companilactobacillus nuruki,1,0,1,1,1.0000,0.2065,1.0000,1,1,0.000,1.000
Companilactobacillus pabuli,3,2,3,3,1.0000,0.4385,1.0000,3,3,0.000,1.000
Companilactobacillus paralimentarius,18,9,18,18,1.0000,0.8241,1.0000,18,18,0.000,1.000
Companilactobacillus sp.,21,0,20,20,0.9524,0.7733,0.9915,20,20,0.095,0.524
Companilactobacillus suantsaicola,1,0,1,1,1.0000,0.2065,1.0000,1,1,0.000,1.000
Companilactobacillus tucceti,1,0,1,1,1.0000,0.2065,1.0000,1,1,0.000,1.000
Companilactobacillus versmoldensis,2,0,2,2,1.0000,0.3424,1.0000,2,2,0.000,1.000
