protein_id,species,length,hmm_score,n_genomes,is_cluster_rep,TM,SP,topology,class
WP_002289161.1,Enterococcus faecium,389,149.6,188,1,1,0,i12-38o,A_TM
WP_002295411.1,Enterococcus faecium,386,134.9,41,0,1,0,i12-35o,A_TM
WP_002297066.1,Enterococcus faecium,386,130.7,104,1,1,0,i12-35o,A_TM
WP_002310313.1,Enterococcus faecium,386,133.2,1,1,1,0,i12-33o,A_TM
WP_002315320.1,Enterococcus faecium,386,130.8,2,0,1,0,i12-33o,A_TM
WP_002322610.1,Enterococcus faecium,386,135.2,8,0,1,0,i12-35o,A_TM
WP_002323483.1,Enterococcus faecium,386,136.6,5,0,1,0,i12-35o,A_TM
WP_002325484.1,Enterococcus faecium,386,134.9,2,0,1,0,i12-35o,A_TM
WP_002328614.1,Enterococcus faecium,386,136.6,18,0,1,0,i12-35o,A_TM
WP_002329048.1,Enterococcus faecium,386,133.0,4,1,1,0,i12-33o,A_TM
WP_002333320.1,Enterococcus faecium,386,135.4,4,0,1,0,i12-35o,A_TM
WP_002335557.1,Enterococcus faecium,386,132.7,11,1,1,0,i12-33o,A_TM
WP_002346593.1,Enterococcus faecium,386,132.2,4,0,1,0,i12-33o,A_TM
WP_002347326.1,Enterococcus faecium,383,135.2,1,0,1,0,i12-35o,A_TM
WP_002347959.1,Enterococcus faecium,386,133.4,1,0,1,0,i12-33o,A_TM
WP_002355600.1,Enterococcus faecalis,388,180.2,240,1,1,0,i12-32o,A_TM
WP_002358721.1,Enterococcus faecalis,388,180.2,15,1,1,0,i12-32o,A_TM
WP_002368034.1,Enterococcus faecalis,388,182.1,3,0,1,0,i12-32o,A_TM
WP_002375969.1,Enterococcus faecalis,388,174.5,8,0,1,0,i12-32o,A_TM
WP_002380101.1,Enterococcus faecalis,388,183.0,3,0,1,0,i12-32o,A_TM
WP_002383010.1,Enterococcus faecalis,388,175.2,4,0,1,0,i12-32o,A_TM
WP_002384946.1,Enterococcus faecalis,388,180.2,26,0,1,0,i12-32o,A_TM
WP_002386952.1,Enterococcus faecalis,388,178.7,64,0,1,0,i12-32o,A_TM
WP_002396959.1,Enterococcus faecalis,388,176.6,1,0,1,0,i12-32o,A_TM
WP_002398113.1,Enterococcus faecalis,388,179.7,48,0,1,0,i12-32o,A_TM
WP_002404081.1,Enterococcus faecalis,388,180.0,8,0,1,0,i12-32o,A_TM
WP_002406625.1,Enterococcus faecalis,388,180.7,1,0,1,0,i12-32o,A_TM
WP_002407352.1,Enterococcus faecalis,388,178.5,3,1,1,0,i12-32o,A_TM
WP_002408015.1,Enterococcus faecalis,388,180.7,1,0,1,0,i12-32o,A_TM
WP_002409593.1,Enterococcus faecalis,388,179.3,1,0,1,0,i12-32o,A_TM
WP_002419999.1,Enterococcus faecalis,388,177.2,3,0,1,0,i12-32o,A_TM
WP_002829685.1,Pediococcus acidilactici,382,169.8,4,0,0,Y,n9-20c24/25o,B_SP
WP_002830654.1,Pediococcus acidilactici,335,135.6,3,1,0,0,o,C_CYTO
WP_002832446.1,Pediococcus acidilactici,382,169.9,9,0,0,Y,n9-20c24/25o,B_SP
WP_002832972.1,Pediococcus pentosaceus,369,148.3,27,1,1,0,i5-23o,A_TM
WP_003549527.1,Lactobacillus acidophilus,313,124.3,131,1,0,0,o,C_CYTO
WP_003566081.1,Lacticaseibacillus paracasei,385,193.0,27,1,1,0,i7-28o,A_TM
WP_003575507.1,Lacticaseibacillus paracasei,385,192.4,2,0,1,0,i7-28o,A_TM
WP_003575509.1,Lacticaseibacillus paracasei,397,163.5,1,0,1,0,i12-31o,A_TM
WP_003579774.1,Lacticaseibacillus paracasei,385,191.5,63,0,1,0,i7-28o,A_TM
WP_003579778.1,Lacticaseibacillus paracasei,397,163.7,1,1,1,0,i12-31o,A_TM
WP_003584880.1,Lacticaseibacillus paracasei,385,190.6,45,1,1,0,i7-28o,A_TM
WP_003594959.1,Lacticaseibacillus paracasei,397,163.5,2,0,1,0,i12-31o,A_TM
WP_003599095.1,Lacticaseibacillus paracasei,385,189.9,1,0,1,0,i7-28o,A_TM
WP_003605398.1,Lacticaseibacillus paracasei,397,163.4,10,1,1,0,i12-31o,A_TM
WP_003625023.1,Lactobacillus helveticus,314,127.0,86,1,0,0,o,C_CYTO
WP_003640709.1,Lactiplantibacillus plantarum,397,831.9,298,1,1,0,i12-32o,A_TM
WP_003645971.1,Lactiplantibacillus plantarum,391,818.6,1,0,0,Y,n6-17c21/22o,B_SP
WP_003648202.1,Lactobacillus gasseri,308,130.7,65,1,0,0,o,C_CYTO
WP_003649829.1,Lactobacillus paragasseri,308,131.4,13,0,0,0,o,C_CYTO
WP_003650906.1,Lactobacillus gasseri,308,131.9,57,0,0,0,o,C_CYTO
WP_004164644.1,Leuconostoc mesenteroides,380,134.8,23,1,1,0,i12-29o,A_TM
WP_004166187.1,Pediococcus acidilactici,379,173.8,36,1,0,Y,n9-22c26/27o,B_SP
WP_004270088.1,Latilactobacillus curvatus,379,196.2,31,1,0,0,o,C_CYTO
WP_004559617.1,Lacticaseibacillus paracasei,385,192.1,107,1,1,0,i7-28o,A_TM
WP_004900116.1,Leuconostoc citreum,378,154.0,16,1,1,0,i12-35o,A_TM
WP_004905167.1,Leuconostoc citreum,378,152.9,20,0,1,0,i12-35o,A_TM
WP_004907388.1,Leuconostoc citreum,378,157.5,9,0,1,0,i12-35o,A_TM
WP_005685387.1,Lacticaseibacillus rhamnosus,386,200.7,111,0,0,Y,n10-21c27/28o,B_SP
WP_005689912.1,Lacticaseibacillus rhamnosus,398,168.0,1,1,1,0,i12-31o,A_TM
WP_005714055.1,Lacticaseibacillus rhamnosus,386,200.2,35,1,0,Y,n10-21c27/28o,B_SP
WP_005717056.1,Lacticaseibacillus rhamnosus,386,202.0,4,0,0,Y,n10-21c27/28o,B_SP
WP_005719984.1,Lactobacillus crispatus,313,127.7,351,1,0,0,o,C_CYTO
WP_005918936.1,Pediococcus acidilactici,382,177.4,21,0,0,Y,n9-20c24/25o,B_SP
WP_006585341.1,Lactobacillus jensenii,311,110.0,140,1,0,0,o,C_CYTO
WP_008841744.1,Pediococcus acidilactici,382,176.6,4,0,0,Y,n9-20c24/25o,B_SP
WP_010487605.1,Lacticaseibacillus zeae,387,187.7,4,1,0,Y,n6-19c23/24o,B_SP
WP_010623980.1,Companilactobacillus versmoldensis,303,209.2,2,1,0,0,o,C_CYTO
WP_010710792.1,Enterococcus faecalis,388,182.9,11,0,1,0,i12-32o,A_TM
WP_010712018.1,Enterococcus faecalis,388,171.7,2,0,1,0,i12-32o,A_TM
WP_010713877.1,Enterococcus faecalis,388,179.1,6,0,1,0,i12-32o,A_TM
WP_010722224.1,Enterococcus faecium,386,136.5,1,1,1,0,i12-35o,A_TM
WP_010723837.1,Enterococcus faecium,386,137.6,1,0,1,0,i12-35o,A_TM
WP_010726389.1,Enterococcus faecium,386,130.7,2,1,1,0,i12-35o,A_TM
WP_010774519.1,Enterococcus faecalis,388,175.6,10,0,1,0,i12-32o,A_TM
WP_010777078.1,Enterococcus faecium,386,136.6,5,0,1,0,i12-35o,A_TM
WP_010777421.1,Enterococcus faecalis,388,170.9,8,0,1,0,i12-32o,A_TM
WP_010817053.1,Enterococcus faecalis,388,173.0,1,0,1,0,i12-32o,A_TM
WP_010819222.1,Enterococcus faecalis,388,180.4,3,0,1,0,i12-32o,A_TM
WP_010821431.1,Enterococcus faecalis,388,171.0,2,0,1,0,i12-32o,A_TM
WP_011373814.1,Latilactobacillus sakei,383,174.8,53,1,0,Y,n8-19c37/38o,B_SP
WP_011667342.1,Levilactobacillus brevis,410,208.0,1,1,0,Y,n10-20c25/26o,B_SP
WP_011668273.1,Levilactobacillus brevis,392,270.1,19,1,0,Y,n5-16c23/24o,B_SP
WP_011673755.1,Pediococcus pentosaceus,374,158.5,36,1,0,Y,n10-18c23/24o,B_SP
WP_011674604.1,Lacticaseibacillus paracasei,385,192.0,50,1,1,0,i7-28o,A_TM
WP_011679299.1,Leuconostoc mesenteroides,380,134.3,84,1,1,0,i12-29o,A_TM
WP_013355603.1,Lactiplantibacillus plantarum,397,828.2,16,0,1,0,i12-32o,A_TM
WP_013438763.1,Lactobacillus amylovorus,314,131.1,1,0,0,0,o,C_CYTO
WP_013642567.1,Lactobacillus amylovorus,313,128.3,8,0,0,0,o,C_CYTO
WP_013855042.1,Lactobacillus kefiranofaciens,314,126.0,18,1,0,0,o,C_CYTO
WP_014324334.1,Leuconostoc mesenteroides,380,136.4,15,0,1,0,i12-29o,A_TM
WP_014564361.1,Lactobacillus helveticus,314,126.7,10,0,0,0,o,C_CYTO
WP_014571411.1,Lacticaseibacillus rhamnosus,386,199.8,141,1,0,Y,n10-21c27/28o,B_SP
WP_014919621.1,Lactobacillus helveticus,314,125.6,24,1,0,0,o,C_CYTO
WP_015764542.1,Lacticaseibacillus rhamnosus,386,198.4,11,0,0,Y,n10-21c27/28o,B_SP
WP_016264383.1,Latilactobacillus sakei,383,176.0,90,1,0,Y,n8-19c37/38o,B_SP
WP_016376385.1,Lacticaseibacillus paracasei,401,198.9,36,1,1,0,i12-34o,A_TM
WP_016382161.1,Lacticaseibacillus paracasei,401,198.5,34,0,1,0,i12-34o,A_TM
WP_016384880.1,Lacticaseibacillus paracasei,385,191.4,5,0,1,0,i7-28o,A_TM
WP_016388553.1,Lacticaseibacillus paracasei,385,191.2,32,1,1,0,i7-28o,A_TM
WP_016628659.1,Enterococcus faecium,386,132.8,5,0,1,0,i12-33o,A_TM
WP_019883115.1,Lacticaseibacillus paracasei,401,198.8,2,0,1,0,i12-34o,A_TM
WP_020807622.1,Lactobacillus gasseri,308,130.5,37,0,0,0,o,C_CYTO
WP_020992926.1,Lactobacillus crispatus,313,127.4,21,0,0,0,o,C_CYTO
WP_021742762.1,Levilactobacillus brevis,392,272.3,7,1,0,Y,n5-16c23/24o,B_SP
WP_022087752.1,Lactobacillus amylovorus,313,131.1,17,1,0,0,o,C_CYTO
WP_023062096.1,Lactobacillus helveticus,314,126.8,16,0,0,0,o,C_CYTO
WP_023190736.1,Lactobacillus helveticus,314,124.9,4,1,0,0,o,C_CYTO
WP_023894585.1,Enterococcus faecalis,388,179.1,2,0,1,0,i12-32o,A_TM
WP_024526628.1,Levilactobacillus brevis,392,271.2,5,0,0,Y,n5-16c23/24o,B_SP
WP_024797104.1,Enterococcus faecalis,388,180.5,1,0,1,0,i12-32o,A_TM
WP_024855550.1,Levilactobacillus brevis,392,271.4,22,1,0,Y,n5-16c23/24o,B_SP
WP_024862914.1,Pediococcus acidilactici,382,176.0,1,0,0,Y,n9-20c24/25o,B_SP
WP_025012658.1,Lacticaseibacillus casei,398,182.5,24,1,1,0,i12-31o,A_TM
WP_025024574.1,Companilactobacillus nodensis,372,200.3,5,1,0,Y,n7-18c29/30o,B_SP
WP_025084809.1,Companilactobacillus paralimentarius,358,192.3,14,1,0,Y,n5-16c23/24o,B_SP
WP_025267794.1,Leuconostoc mesenteroides,380,134.6,74,0,1,0,i12-29o,A_TM
WP_025284024.1,Lactobacillus helveticus,314,127.0,1,1,0,0,o,C_CYTO
