accession,species,strain,assembly_level,n_protein,dltA,dltE,dltE_len,dltE_score,dltE_s90,dltE_s110,dltE_s130,mprF_long,mprF_short,localization
GCF_003952845.1,Lactobacillus acidophilus,YT1,Complete Genome,1912,1,1,313,128.8,1,1,0,0,1,C_CYTO
GCF_003047065.1,Lactobacillus acidophilus,DSM 20079,Complete Genome,1759,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_024397395.1,Lactobacillus acidophilus,HN017,Complete Genome,1813,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_034298135.1,Lactobacillus acidophilus,ATCC 4356,Complete Genome,1764,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_024665075.1,Lactobacillus acidophilus,LA-2,Complete Genome,1792,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_020883435.1,Lactobacillus acidophilus,NC55,Complete Genome,1789,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025665255.1,Lactobacillus acidophilus,NC56,Complete Genome,1778,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_030520065.1,Lactobacillus acidophilus,ATCC 9224,Complete Genome,1788,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_032463485.1,Lactobacillus acidophilus,CICC6074,Complete Genome,1795,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_021432145.1,Lactobacillus acidophilus,5460,Complete Genome,1793,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_032917925.1,Lactobacillus acidophilus,LA01,Complete Genome,1789,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_052747875.1,Lactobacillus acidophilus,LA85,Complete Genome,1795,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_030520045.1,Lactobacillus acidophilus,ATCC 53544,Complete Genome,1791,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_039880475.1,Lactobacillus acidophilus,NCFM,Complete Genome,1794,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_040954475.1,Lactobacillus acidophilus,NCFM_HOWARU_Commercial,Complete Genome,1793,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_056270425.1,Lactobacillus acidophilus,LA120,Complete Genome,1790,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_013342945.1,Lactobacillus acidophilus,LA-G80-111,Complete Genome,1791,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_024665555.1,Lactobacillus acidophilus,LA-5,Complete Genome,1793,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_000934625.1,Lactobacillus acidophilus,FSI4,Complete Genome,1789,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_002286215.1,Lactobacillus acidophilus,LA1,Complete Genome,1790,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_051397015.1,Lactobacillus acidophilus,SLAM_LAA02,Complete Genome,1790,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_002224305.1,Lactobacillus acidophilus,ATCC 53544,Complete Genome,1782,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_046529775.1,Lactobacillus acidophilus,C4,Complete Genome,1787,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_000389675.2,Lactobacillus acidophilus La-14,La-14,Complete Genome,1782,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_033569435.1,Lactobacillus acidophilus,P42,Complete Genome,1793,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_052907325.1,Lactobacillus acidophilus,NCU402,Complete Genome,1754,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_000011985.1,Lactobacillus acidophilus NCFM,NCFM,Complete Genome,1770,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_030369715.1,Lactobacillus acidophilus,W626,Complete Genome,1756,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_001433895.1,Lactobacillus acidophilus DSM 20079 = JCM 1132 = NBRC 13951 = CIP 76.13,DSM 20079,Scaffold,1750,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_045269835.1,Lactobacillus acidophilus,MRD044,Chromosome,1763,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_000786395.1,Lactobacillus acidophilus,ATCC 4356,Contig,1745,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_001591845.1,Lactobacillus acidophilus DSM 20079 = JCM 1132 = NBRC 13951 = CIP 76.13,NBRC 13951,Contig,1760,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_002914945.1,Lactobacillus acidophilus,BA05,Contig,1787,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_000469705.1,Lactobacillus acidophilus DSM 20079 = JCM 1132 = NBRC 13951 = CIP 76.13,CIP 76.13,Scaffold,1763,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_001868765.1,Lactobacillus acidophilus,KLDS 1.0901,Scaffold,1775,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_029334915.1,Lactobacillus acidophilus,MehediL2,Contig,1789,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_058147065.1,Lactobacillus acidophilus,A2,Contig,1787,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_017009725.1,Lactobacillus acidophilus,LA1063,Contig,1802,1,1,313,125.3,1,1,0,0,1,C_CYTO
GCF_049070585.1,Lactobacillus acidophilus,DS0557,Scaffold,1786,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_017009605.1,Lactobacillus acidophilus,BCRC 16099,Contig,1787,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_017009715.1,Lactobacillus acidophilus,La-5,Contig,1786,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_058148475.1,Lactobacillus acidophilus,A3,Contig,1791,1,1,313,124.3,1,1,0,0,1,C_CYTO
