Strain,Species group,Isolation source,Genome accession,Backbone type,Chain length (n),Chain length range,D-alanine (%),"D-alanine, qualitative",Glycosyl substituent,Glycosyl (%),Anchor sugars (n),Anchor composition,Third acyl chain,Acyl chains (n),Fatty acid composition,Extraction method,Culture condition,Evidence grade,Reference,Notes
Lactobacillus gasseri JCM 1131T,gasseri-paragasseri,human intestine,GCA_000014425 (=ATCC 33323T),type I (poly-GroP),NR,NR,55,partial,none detected,0,4,Hex4DAG + AcylHex4DAG,Y,2 and 3,"C16:0, C18:1 (no C19:cy)",BuOH + HIC,"0.5x MRS + 200 mM MES pH 6.5, 37C anaerobic, exponential (OD660 0.6)",A,Shiraishi 2025 BBB 89:1382,Same strain reported at 30% in 2013 and 55% in 2025. Decisive evidence that the D-alanine value is unstable
Lactobacillus gasseri JCM 5814,gasseri-paragasseri,human faeces,"no assembly (16S only, AB289138)",type I (poly-GroP),NR,NR,40-55,partial,none detected,0,4,Hex4DAG + AcylHex4DAG,Y,2 and 3,"C16:0, C18:1, C19:cy",BuOH + HIC,"0.5x MRS + 200 mM MES pH 6.5, 37C anaerobic, exponential (OD660 0.6)",A,Shiraishi 2025 BBB 89:1382,Weak AcylHex4DAG peak
Lactobacillus gasseri VLG3,gasseri-paragasseri,human vagina,BAAGHB010000000,type I (poly-GroP),NR,NR,40-55,partial,none detected,0,4,Hex4DAG + AcylHex4DAG,Y,2 and 3,"C16:0, C18:1, C19:cy",BuOH + HIC,"0.5x MRS + 200 mM MES pH 6.5, 37C anaerobic, exponential (OD660 0.6)",A,Shiraishi 2025 BBB 89:1382,ANI 99.0% against ATCC 33323T
Lactobacillus paragasseri JCM 1130,gasseri-paragasseri,chicken faeces,GCF_003307255.1,type I (poly-GroP),NR,NR,40-55,partial,none detected,0,4,Hex4DAG + AcylHex4DAG,Y,2 and 3,"C16:0, C18:1, C19:cy",BuOH + HIC,"0.5x MRS + 200 mM MES pH 6.5, 37C anaerobic, exponential (OD660 0.6)",A,Shiraishi 2025 BBB 89:1382,The only non-human isolate; Hex4 as in the others
Lactobacillus paragasseri VLG1,gasseri-paragasseri,human vagina,BAAGGZ010000000,type I (poly-GroP),NR,NR,17,partial,none detected,0,4,Hex4DAG + AcylHex4DAG,Y,2 and 3,"C16:0, C18:1, C19:cy",BuOH + HIC,"0.5x MRS + 200 mM MES pH 6.5, 37C anaerobic, exponential (OD660 0.6)",A,Shiraishi 2025 BBB 89:1382,"Lowest of the seven strains. 1.90 Mb / 1,787 CDS"
Lactobacillus paragasseri VLG2,gasseri-paragasseri,human vagina,BAAGHA010000000,type I (poly-GroP),NR,NR,40-55,partial,none detected,0,4,Hex4DAG + AcylHex4DAG,Y,2 and 3,"C16:0, C18:1, C19:cy",BuOH + HIC,"0.5x MRS + 200 mM MES pH 6.5, 37C anaerobic, exponential (OD660 0.6)",A,Shiraishi 2025 BBB 89:1382,"1.93 Mb / 1,885 CDS. Free alanine observed"
Lactobacillus paragasseri VLG4,gasseri-paragasseri,human vagina,BAAGHC010000000,type I (poly-GroP),NR,NR,24,partial,none detected,0,4,Hex4DAG + AcylHex4DAG,Y,2 and 3,"C16:0, C18:1, C19:cy",BuOH + HIC,"0.5x MRS + 200 mM MES pH 6.5, 37C anaerobic, exponential (OD660 0.6)",A,Shiraishi 2025 BBB 89:1382,"1.92 Mb / 1,886 CDS. Weak AcylHex4DAG signal"
Lactiplantibacillus plantarum JCM 1149T,plantarum,NR,GCF_000143745.1 (as ATCC 14917),type I (poly-GroP),110,NA,42,partial,Glc,10%,3,Hex3DAG + AcylHex3DAG,Y,3,NR,BuOH,NR,A,Hatano 2015 Int Immunopharmacol 25:321,"Chain length 110, the longest in Lactobacillus"
L. plantarum L-137,plantarum,NR,no assembly,type I (poly-GroP),96,NA,50,partial,Glc,2%,3,Hex3DAG + AcylHex3DAG,Y,3,NR,BuOH,NR,A,Hatano 2015,Identical anchor; Glc substitution 10% against 2%. Within-species heterogeneity
L. plantarum KCTC 10887BP (K8),plantarum,NR,GCF_003597615.1,type I (poly-GroP),NR,NR,NR,partial,Glc + Gal,Glc:Gal=29:1,3,Glc-Gal-Glc-DAG + AcylGlc-type,Y,3,includes unsaturated,BuOH,NR,A,Jang 2011 BBRC 407:823,The only Lactobacillus in which Gal was detected
L. plantarum NCIMB 8826,plantarum,NR,GCF_017798305.1,type I (poly-GroP),NR,NR,42,partial,NR,NR,Unknown,Unknown,NR,NR,NR,BuOH,NR,B,Grangette 2005 PNAS 102:10321,"The largest body of functional data, yet the anchor is unresolved. First priority for re-analysis"
Lacticaseibacillus rhamnosus GG (ATCC 53103),rhamnosus,human intestine,FM179322 (GG) / AP011548 (ATCC 53103),type I (poly-GroP),NR,30-78,72-74,high,none detected,0,3,Glc-Gal-Glc-DAG,N,2,"mean C14, one double bond",BuOH,NR,A,Velez 2007 AEM 73:3595; Claes 2012 MCF 11:161,The only strain without AcylHex-DAG (the authors are cautious). The same strain varies at n = 30-78
L. rhamnosus DSM 20021T,rhamnosus,NR,GCF_001435405.1,type I (poly-GroP),40,NA,0,absent,none,0,3,Glc-Gal-Glc-DAG + AcylGlc-type,Y,3,NR,phenol/water,NR,A,Nakano & Fischer 1978,Same species as GG but no substituents at all; different extraction method precludes direct comparison
Lactobacillus acidophilus NCFM (NCK56),acidophilus,NA,CP000033 / GCF_000011985.1,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,NA,C,Altermann 2005 PNAS 102:3906 (genome); no structural paper,"No structural determination. Reference species for the LTA operon LBA0444-0448. Genome 1,993,564 nt, GC 34.71%, 1,864 ORFs"
Latilactobacillus curvatus CP2998,LAB_ref,fermented food,no assembly,type I (poly-GroP),NR,NR,18,partial,alpha-Glc,23% (59% unsubstituted),2,Glc2MAG + Glc2DAG,N,1 and 2,"C16:0, C18:1, C19:cy",BuOH + HIC,"0.5x MRS, 37C anaerobic, overnight",A,Shiraishi 2025 FEMS Microbiol Lett 372:fnaf005,Breaks two lactic acid bacterial rules at once: disaccharide anchor and no triacyl form. A clinical trial reports improved gait in older adults
Apilactobacillus kosoi 10HT,LAB_ref,fermented vegetable drink (koso),BEXE01000000,type I (poly-GroP),NR,12-20,0,absent (no dlt genes),"Glc(a1-), kojibiose, ★L-lysine",NR,2,Hex2DAG,N,2,"C16:0/C18:1, C16:0/C19:cy (m/z 942, 956)",BuOH + HIC,MRS + 10% fructose,A,Shiraishi 2024 IJBM 271:132540; Matsuzaki 2022 AEM 88:e00190-22,First report of an L-lysine substituent; its removal lowers IgA induction. dlt operon confirmed absent (Matsuzaki 2022). Anchor confirmed as Hex2DAG
Apilactobacillus apinorum JCM 30765T,LAB_ref,honey bee,JXCT01000000,type I (poly-GroP),NR,12-20,0,absent (no dlt genes),"Glc(a1-), kojibiose, ★L-lysine",NR,2,Hex2DAG,N,2,NR,BuOH + HIC,MRS + 10% fructose,A,Shiraishi 2024 IJBM 271:132540; Matsuzaki 2022 AEM 88:e00190-22,dlt operon confirmed absent. Strong IgA-inducing activity
Apilactobacillus kunkeei JCM 16173T,LAB_ref,honey bee,NZ_CP080568,type I (poly-GroP),NR,12-20,0,absent (no dlt genes),"Glc(a1-), kojibiose, ★L-lysine",NR,2,Hex2DAG,N,2,NR,BuOH + HIC,MRS + 10% fructose,A,Shiraishi 2024 IJBM 271:132540; Matsuzaki 2022 AEM 88:e00190-22,dlt operon confirmed absent. Culture requires 10% tomato juice and 0.05% L-cysteine
Limosilactobacillus antri JCM 15950T,LAB_ref,human gastric mucosa,GCF_000160835.1 (as DSM 16041),type I (poly-GroP),NR,NR,NR,NR,NR,NR,NR,NR,Y,3,three fatty acyl residues,BuOH,NR,A,Yamasaki-Yashiki 2024 AEM 90:e0119724,Immunostimulatory activity of triacyl LTA; delivery via membrane vesicles
